test,Abbr,unit,normalrange,group
Urine Cystine (24h),24u-Cystin,,"Working Days: Everyday
Days to Report: ",bioch
Urine Normetanephrine(24h),24u-Normeta,,"Working Days: Everyday
Days to Report: ",bioch
Urine Metanephrine (24h),24u MetNep,,"Working Days: Everyday
Days to Report: ",bioch
Urine Citrate (24h),24uCitrat ,,"Working Days: Everyday
Days to Report: ",bioch
Urine Catecolamin (24h),catecola 24 h,,"Working Days: Everyday
Days to Report: ",bioch
Urine Magnesium (24h),24u Mg,,"Working Days: Everyday
Days to Report: ",bioch
Urine Specific Gravity (24h),24uSG,,"Working Days: Everyday
Days to Report: ",bioch
Urine Sugar (24h),24u Sugar,,"Working Days: Everyday
Days to Report: ",bioch
Urine Copper (24h),24u Copper ,,"Working Days: Everyday
Days to Report: ",bioch
Urine Ceruloplasmin (24h),24u Cerulopla,,"Working Days: Everyday
Days to Report: ",bioch
Urine PH (24h),24u PH ,,"Working Days: Everyday
Days to Report: ",bioch
Urine Blood (24h),24u Blood,,"Working Days: Everyday
Days to Report: ",bioch
Urine Nitrit (24h),24u nitrit,,"Working Days: Everyday
Days to Report: ",bioch
Urine Epinephrine (24h),24h Epineph,,"Working Days: Everyday
Days to Report: ",bioch
Urine Nor Epinephrine (24h),24 h Nor epine,,"Working Days: Everyday
Days to Report: ",bioch
Urine Adrenalin (24h),24 h Adre,,"Working Days: Everyday
Days to Report: ",bioch
Urine Nor Adrenalin (24h),24 h noradr,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Chloride,R.U.Cl,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Calcium,R.U.Ca,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Oxlate,R.U.Ox ,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Phosphorus,R.U.Phos,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Urea,R.U.Urea,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Copper,R.U.Copper,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Creatinin,R.U.Crea,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Sodium,R.U.Na,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Potasium,R.U.K,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Uric Acid,R.U.U.Acid,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Amylase,R.U.Amylase,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Citrate,R.U.Citrat,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Cystine,R.U. Cystine,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Protein,R.U. Prot,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Magnesium,R.U.Mg,,"Working Days: Everyday
Days to Report: ",bioch
Random Urine Homocystein ,R.U.Homocys,,"Working Days: Everyday
Days to Report: ",bioch
Random Myoglobin,u Myoglo,,"Working Days: Everyday
Days to Report: ",bioch
Urine Microalbumin,R.U. MicroAlb,mg/L,"Working Days: Everyday
Days to Report: 
Normal:<20
Micro albumin uria:20-200
Macro albumin uria:>200",bioch
ACR,ACR,,"Working Days: Everyday
Days to Report: ",bioch
Calculi Analysis,Cal-Analys,,"Working Days: Everyday
Days to Report: ",bioch
Source of Calculi ,,,"Working Days: Everyday
Days to Report: ",bioch
Pieces  of Calculi ,,,"Working Days: Everyday
Days to Report: ",bioch
Weight ,,,"Working Days: Everyday
Days to Report: ",bioch
Size ,,,"Working Days: Everyday
Days to Report: ",bioch
Shape ,,,"Working Days: Everyday
Days to Report: ",bioch
Color,,,"Working Days: Everyday
Days to Report: ",bioch
Surface Appearance ,,,"Working Days: Everyday
Days to Report: ",bioch
Consistency ,,,"Working Days: Everyday
Days to Report: ",bioch
Chemical Analysis ,,,"Working Days: Everyday
Days to Report: ",bioch
Calcium :,,,"Working Days: Everyday
Days to Report: ",bioch
Oxalate :,,,"Working Days: Everyday
Days to Report: ",bioch
Ammoniom :,,,"Working Days: Everyday
Days to Report: ",bioch
Uric Acid :,,,"Working Days: Everyday
Days to Report: ",bioch
Phosphate :,,,"Working Days: Everyday
Days to Report: ",bioch
Magnesium :,,,"Working Days: Everyday
Days to Report: ",bioch
Cystine :,,,"Working Days: Everyday
Days to Report: ",bioch
CO2:,,,"Working Days: Everyday
Days to Report: ",bioch
TLC-For Amino Acid & Suger Urine,TLCادرار صبحگاه,,"Working Days: Everyday
Days to Report: ",bioch
"Nitroproside , Urine",Nitropro,,"Working Days: Everyday
Days to Report: ",bioch
Protein Electrophoresis Urine,24 u Pro EP,,"Working Days: Everyday
Days to Report: ",bioch
Beta2-Microglobulin,,,"Working Days: Everyday
Days to Report: ",bioch
Hemoglobin,,,"Working Days: Everyday
Days to Report: ",bioch
Free Light Chains,,,"Working Days: Everyday
Days to Report: ",bioch
Alpha 1-Microglobulin,,,"Working Days: Everyday
Days to Report: ",bioch
Free Light Chains Dimers,,,"Working Days: Everyday
Days to Report: ",bioch
Albumin,,,"Working Days: Everyday
Days to Report: ",bioch
Transferrin,,,"Working Days: Everyday
Days to Report: ",bioch
Tammhorsfall,,,"Working Days: Everyday
Days to Report: ",bioch
IgG/IgA,,,"Working Days: Everyday
Days to Report: ",bioch
IgM/Alpha2-Mac.,,,"Working Days: Everyday
Days to Report: ",bioch
N-Acetil Glucose Amin Urine,R.U. NAG,,"Working Days: Everyday
Days to Report: ",bioch
NGAL,R.U.NGAL,,"Working Days: Everyday
Days to Report: ",bioch
Urine Amino Acid,R.U. Amino acid,,"Working Days: Everyday
Days to Report: ",bioch
Phenyl alanine Urine,Phenyl U,,"Working Days: Everyday
Days to Report: ",bioch
Reducing Substances ,u-Reducing,Qual,"Working Days: Everyday
Days to Report: 
Negative",bioch
PKU,u PKU,,"Working Days: Everyday
Days to Report: ",bioch
CSF- Glucose ,csf-Glucos,,"Working Days: Everyday
Days to Report: ",bioch
CSF-Protein,csf-Protei,,"Working Days: Everyday
Days to Report: ",bioch
CSF-GammaGlobulins,csf-GammaG,,"Working Days: Everyday
Days to Report: ",bioch
CSF-Albumin ,csf-Albumi,,"Working Days: Everyday
Days to Report: ",bioch
CSF-A/G Ratio,csf-A/G,,"Working Days: Everyday
Days to Report: ",bioch
CSF-Na,csf-Na,,"Working Days: Everyday
Days to Report: ",bioch
CSF-K ,csf-K,,"Working Days: Everyday
Days to Report: ",bioch
CSF-Chloride,csf-Cl,,"Working Days: Everyday
Days to Report: ",bioch
CSF-LDH ,csf-LDH,,"Working Days: Everyday
Days to Report: ",bioch
CSF-CPK ,csf-CPK,,"Working Days: Everyday
Days to Report: ",bioch
CSF-Osmolality ,csf-Osmola,,"Working Days: Everyday
Days to Report: ",bioch
Synovial Glucose,syn-Glucos,,"Working Days: Everyday
Days to Report: ",bioch
Synovial Protein  ,syn-Protei,,"Working Days: Everyday
Days to Report: ",bioch
Synovial Albumin ,syn-Albumi,,"Working Days: Everyday
Days to Report: ",bioch
Synovial LDH ,syn-LDH,,"Working Days: Everyday
Days to Report: ",bioch
Synovial Na ,syn-Na,,"Working Days: Everyday
Days to Report: ",bioch
Synovial K,syn-K,,"Working Days: Everyday
Days to Report: ",bioch
Synovial Chloride ,syn-Cl,,"Working Days: Everyday
Days to Report: ",bioch
Synovial Osmolality ,syn-Osmolali,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-Glucose ,ple-Glucos,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-Protein ,ple-Protei,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-Albumin ,ple-Albumi,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-LDH,ple-LDH,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-Na ,ple-Na,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-K,ple-K,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-Chloride ,ple-Cl,,"Working Days: Everyday
Days to Report: ",bioch
Pleural-Osmolality ,ple-Osmolal,,"Working Days: Everyday
Days to Report: ",bioch
Pericardial-Glucose ,per-Glucos,,"Working Days: Everyday
Days to Report: ",bioch
Pericardial-Protein ,per-Protei,,"Working Days: Everyday
Days to Report: ",bioch
Perciardial-Albumin ,per-Albumin,,"Working Days: Everyday
Days to Report: ",bioch
Pericardial-LDH ,per-LDH,,"Working Days: Everyday
Days to Report: ",bioch
Pericardial-Na,per-Na,,"Working Days: Everyday
Days to Report: ",bioch
Pericardial-K,per-K,,"Working Days: Everyday
Days to Report: ",bioch
Pericardial-Chloride,per-Cl,,"Working Days: Everyday
Days to Report: ",bioch
Pericardial-Osmolality,per-Osmola,,"Working Days: Everyday
Days to Report: ",bioch
Ascitic-Glucose,ascit-Glucos,,"Working Days: Everyday
Days to Report: ",bioch
Ascitic-Protein ,ascit-Protei,,"Working Days: Everyday
Days to Report: ",bioch
Ascitic-Albumin,ascit-Albumi,,"Working Days: Everyday
Days to Report: ",bioch
Ascitic-LDH,ascit-LDH,,"Working Days: Everyday
Days to Report: ",bioch
Ascitic-Na,ascit-Na,,"Working Days: Everyday
Days to Report: ",bioch
Ascitic-K ,ascit-K,,"Working Days: Everyday
Days to Report: ",bioch
Ascitic-Chloride,ascit-Cl,,"Working Days: Everyday
Days to Report: ",bioch
Asitic-Osmolality ,ascit-Osmola,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(NSE),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(P16),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(P53),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(P63),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(Pan CK(AE1/AE3)),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(PAX-5),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(PAX-8),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(PC),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(PDL1),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(Placental alkaline phosphatase),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(PMS2),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(PR-Progestrone Receptor),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(PSA),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(Racemase),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(S100),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(Smooth Muscle Actin SMA),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(TdT),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(Thyroglobulin),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(TTF-1),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(Vimentin),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(WT1),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(CD31),,,"Working Days: Everyday
Days to Report: ",bioch
IHC-SERIAL,,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي(D2-40),,,"Working Days: Everyday
Days to Report: ",bioch
ايمونوهيستوشيمي آنتي بادي,,,"Working Days: Everyday
Days to Report: ",bioch
Pathology 1,,,"Working Days: Everyday
Days to Report: ",patho
Pathology 2,,,"Working Days: Everyday
Days to Report: ",patho
جفت . به جز سه ماهه سوم(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
Pathology 4,,,"Working Days: Everyday
Days to Report: ",patho
وولوا.رزکسيون توتال/ساب توتال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
مشاوره و گزارش مواردي كه نياز به تهيه لام دارند,,,"Working Days: Everyday
Days to Report: ",patho
مشاوره و گزارش لام تهيه شده در جاي ديگر,,,"Working Days: Everyday
Days to Report: ",patho
"رنگ‌آميزي اختصاصي، گروه 2 رنگ آميزي‌هاي ديگر ",,,"Working Days: Everyday
Days to Report: ",patho
عمل دي كلسيفيكاسيون ,,,"Working Days: Everyday
Days to Report: ",patho
آسپيراسيون مغز استخوان ,,,"Working Days: Everyday
Days to Report: ",patho
بررسي ميکروسکوپي نمونه هاي بيوپسي,,,"Working Days: Everyday
Days to Report: ",patho
NIPPLE CYTOLOGY,,,"Working Days: Everyday
Days to Report: ",patho
Fluid sample ,,,"Working Days: Everyday
Days to Report: ",patho
Liquid Based Cytology ,,,"Working Days: Everyday
Days to Report: 4",patho
FNA CYTOLOGY Thyroid,,,"Working Days: Everyday
Days to Report: ",patho
Urine Cytology,,,"Working Days: Everyday
Days to Report: ",patho
FROZEN,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-پستان,,,"Working Days: Everyday
Days to Report: ",patho
Pap Smear,Pap.s,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-پستان,,,"Working Days: Everyday
Days to Report: ",patho
پستان.بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پستان.ماموپلاستي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
برونش.بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
سرويکس .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
کولون .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
دئودونوم.بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
آندوسرويکس .کورتاژ/بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
آندومتر.کورتاژ/بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
مري .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
لوله فالوپ . حاملگي نابجاويا تشخيصي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
سرفمور .شکستگي (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
انگشتان دست /پا آمپوتاسيون.غيرتروماتيک(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
لثه /مخاط دهان .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
دريچه قلب(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
مفصل /رزکسيون(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
حنجره .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
لب .رزکسيون گوه اي(وج(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
ريه .بيوپسي ترانس برونشيال(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
مخاط بيني .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
نازوفارکس/اوروفارنکس.بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
ادنتوژنتيک /دنتال سيست(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
امنتوم (چادرينه ).بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
تخمدان همراه يا بدون لوله.غيرنئوپلاستيک(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
 تخمدان .بيوپسي /رزکسيون گوه اي (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
غده پاراتيروئيد(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پريتوان (صفاق )بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
تومورهيپوفيز(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پلور /پريکارد-بيوپسي /بافت(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پوليپ. سرويکال /آندومتريال(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پوليپ معده /روده کوچک(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پروستات. بيوپسي سوزني(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پروستات . تي يوآر(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
غده بزاقي  بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
سينوس.پارانازال بيوپسي (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
روده کوچک /بيوپسي (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
بافت نرم بجزتومور/توده /ليپوم/دبريدمان(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
طحال(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
معده .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
سينوويوم(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
بيضه بجزتومور/بيوپسي /اخته کردن(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
مجراي تيروگلوس/کيست شکاف برانکيال(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
زبان.بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
لوزه .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
ناي .تراشه.بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
حالب .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
اورترا(مجراي ادرار).بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
مثانه.بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
واژن .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
وولوا/لابيا .بيوپسي(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
چشم . انوکليشن(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
( ريه .بيوپسي گوه اي (وج(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
ميوکارد.بيوپسي (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
تومورادونتوژنيک(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
تخمدان با يا بدون لوله.نئوپلاستيک(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پانکراس بيوپسي (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
جفت سه ماهه سوم(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
پروستات. به جزرزکسيون راديکال (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
غده بزاقي (سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
روده کوچک رزکسيون بجز تومور(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
توده بافت نرم(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
تيروئيد.توتال /لوب(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
حالب .رزکسيون(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
مثانه .تي يو آر(سطح 4),,,"Working Days: Everyday
Days to Report: ",patho
لوله فالوپ .عقيم سازي (سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
انگشتان دست /پا.آمپوتاسيون.تروماتيک(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
فوراکسين( پره پونس ).نوزاد(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
سلم فتق.درمحل(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
ساک هيدروسل(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
پوست .ترميم پلاستيک(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
گانگليون سمپاتيک(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
بيضه ها.اخته کردن( کاستراسيون(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
مخاط واژن.تصادف(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
وازدفران .عقيم سازي (سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
Pathology 3,,,"Working Days: Everyday
Days to Report: ",patho
سقط القايي(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
آبسه(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
آنوريسم -شرياني /بطني (سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
تگ( زائده )آنوس (مقعد(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
آپانديس(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
شريان .پلاک آتروماتوس(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
کيست غددبارتولن(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
بورسا.کيست(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
بافت کارپال تانل(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
غضروف .تراشيدن(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
کلسته آتوما(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
ملتحمه .بيوپسي(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
قرنيه(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
بافت کانترکچردوپوئيترين(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
سرفمور.بجزشکستگي(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
شقاق (فيستور)/فيستول(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
فورسکين( پره پوس).بجز نوزاد(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
کيسه صفرا(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
گانکليون کيست(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
هماتوم(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
هموروئيد(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
هيداتيدمورگاگني(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
ديسک بين مهره اي (سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
مفصل . لوزبادي (سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
نوروما-مورتون/تروماتيک(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
سينوس/کيست پايلونيدال(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
پوليپ .التهابي -بيني /سينوس(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
بافت نرم .دبريدمان(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
اسپرماتوسل(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
تاندون/تاندون شيت (غلاف(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
زائده بيضه(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
ترومبوس يا آمبولي(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
لوزه و/ياآدنوئيد(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
واريکوسل(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
وازدفران.بجزعقيمي (سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
وريد.وارکوزيتي (سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
سقط--خودبخود/فراموش شده(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
شريان .بيوپسي(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
اگزوستوزاستخوان(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
انتهاها.آمپوتاسيون.ترماتيک(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
ليوميوم.ميومکتومي رحمي -بدون رحم(سطح 3),,,"Working Days: Everyday
Days to Report: ",patho
کليه .بيوپسي (سطح5),,,"Working Days: Everyday
Days to Report: ",patho
لنف نود.بيوپسي (سطح5),,,"Working Days: Everyday
Days to Report: ",patho
عضله . بيوپسي (سطح6),,,"Working Days: Everyday
Days to Report: ",patho
عصب. بيوپسي تشخيص مديکال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
پوست(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
استخوان .بيوپسي ياکورتاژ(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
مغز.بيوپسي(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
مغز/مننژ.رزکسيون تومور(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
پستان .ماستکتومي -پارشيال/ساده(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
سرويکس .کونيزاسيون( برداشتن مخاطي(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
انتهاها.آمپوتاسيون .غيرتروماتيک(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
کبد.بيوپسي -سوزني /گوه اي (وج(سطح5),,,"Working Days: Everyday
Days to Report: ",patho
مدياستن.توده اي (سطح5),,,"Working Days: Everyday
Days to Report: ",patho
Pathology 5,,,"Working Days: Everyday
Days to Report: ",patho
آدرنال.رزکسيون(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
رحم .يابدون لوله هاوتخمدانها(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
کليه .نفرکتومي توتال /پارشيال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
حنجره .پارشيال/توتال رزکسيون(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
کبد.رزکسيون پارشيال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
لنف نود.رزکسيونرژيونال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
معده .ساب توتال/توتال رزکسيون بجزبراي تومور(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
رزکسيون اسنخوان(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
پستان .ماستکتومي.به همراه عقده هاي لنفاوي ناحيه(سط,,,"Working Days: Everyday
Days to Report: ",patho
کولون.رزکسيون.سگمنتال به علت تومور(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
کولون.رزکسيون(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
مري .رزکسيون پارشيال/توتال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
اندامها.ديس آرتيکولاسيون(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
جنين .باديسکسيون(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
حلق.رزکسيون پارشيال/توتال به همراه عقده هاي لنفاوي,,,"Working Days: Everyday
Days to Report: ",patho
ريه .رزکسيون توتال /لوب/سگمنت(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
پانکراس.رزکسيون توتال/ساب توتال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
پروستات.رزکسيون راديکال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
روده باريک .رزکسيون يه علت تومور(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
تومور بافت نرم .رزکسيون به علت تومور (سطح6),,,"Working Days: Everyday
Days to Report: ",patho
معده .رزکسيون ساب توتال به علت تومور(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
بيضه.تومور (سطح6),,,"Working Days: Everyday
Days to Report: ",patho
زبان /لوزه-رزکسيون به علت تومور (سطح6),,,"Working Days: Everyday
Days to Report: ",patho
مثانه .رزکسيون پارشيال/توتال(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
رحم .همراه يابدون لوله وتخمدانها.نئوپلاستيک(سطح6),,,"Working Days: Everyday
Days to Report: ",patho
Sputum Cytology,,,"Working Days: Everyday
Days to Report: ",patho
Sputum Cytologyx2,,,"Working Days: Everyday
Days to Report: ",patho
Sputum Cytologyx3,,,"Working Days: Everyday
Days to Report: ",patho
Urine Cytology x4,,,"Working Days: Everyday
Days to Report: ",patho
Urine Cytology x5,,,"Working Days: Everyday
Days to Report: ",patho
"رنگ آميزي اختصاصي ، گروه يك",,,"Working Days: Everyday
Days to Report: ",patho
"رنگ آميزي اختصاصي ، گروه دو",,,"Working Days: Everyday
Days to Report: ",patho
CISH,,,"Working Days: Everyday
Days to Report: ",patho
CANCEL (CISH),,,"Working Days: Everyday
Days to Report: ",patho
